"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
0,320639523,"Via Cappuccini","tertiary","40.6320356,17.9237829","40.6318298,17.9235845",28.355,"2025-11-06 11:40:02.472895","day",29,4,26
1,34038719,"Piazza Sapri","unclassified","40.6262175,17.9252617","40.627026,17.9245257",109.263,"2025-11-06 11:40:02.472895","day",109,33,12
2,430287097,"Via Tor Pisana","secondary","40.6330688,17.9387304","40.6327574,17.9388492",36.011,"2025-11-06 11:40:02.472895","day",40,7,21
3,267552004,"Via Alessandro Favia","residential","40.6302918,17.9212394","40.62935997512565, 17.922229610439913",209.228,"2025-11-06 11:40:02.472895","day",133,22,22
4,271253578,"Via Dalmazia","unclassified","40.6303439,17.9396495","40.6283573,17.9404203",251.374,"2025-11-06 11:40:02.472895","day",256,64,14
6,371399349,"Viale Commenda","tertiary","40.631509463420514, 17.936458515276314","40.6292899142206, 17.93221337491293",432.391,"2025-11-06 11:40:02.472895","day",438,131,12
7,177113362,"Via Romolo","residential","40.632193,17.937292","40.630396, 17.932290",649.371,"2025-11-06 11:40:02.472895","day",466,134,13
8,177113360,"Via Numa Pompilio","tertiary","40.631544,17.9367754","40.6316171,17.9367225",9.27,"2025-11-06 11:40:02.472895","day",9,1,32
10,653559084,"Via Sant'Angelo","tertiary","40.6250114,17.931222","40.6237709,17.931391",138.494,"2025-11-06 11:40:02.472895","day",136,33,15
11,269393415,"Viale Commenda","tertiary","40.632668, 17.938726","40.6316171,17.9367225",216.247,"2025-11-06 11:40:02.472895","day",206,70,11
12,653812344,"Via Dalmazia","unclassified","40.6312696,17.9387999","40.6321926,17.9378478",130.402,"2025-11-06 11:40:02.472895","day",132,47,10
13,34038717,"Via Montebello","unclassified","40.6294124,17.9257892","40.6275495,17.923955",260.93,"2025-11-06 11:40:02.472895","day",260,57,16
14,271261222,"Via Martiri delle Ardeatine","tertiary","40.6282953,17.9393871","40.6273076,17.9409063",170.34,"2025-11-06 11:40:02.472895","day",167,21,29
15,34149866,"Via Don Giovanni Minzoni","residential","40.6295261,17.9228975","40.630224,17.9242473",138.021,"2025-11-06 11:40:02.472895","day",136,23,21
16,34063493,"Via Mogadiscio","unclassified","40.6348944,17.9330795","40.6345818,17.9332197",36.693,"2025-11-06 11:40:02.472895","day",36,8,16
17,273174247,"Viale Martiri delle Fosse Ardeatine","tertiary","40.6295813,17.9381902","40.6282953,17.9393871",175.311,"2025-11-06 11:40:02.472895","day",177,49,13
19,430287039,"Via Tor Pisana","unclassified","40.6296817,17.9417096","40.6301165,17.9413257",58.315,"2025-11-06 11:40:02.472895","day",58,9,23
20,34024892,"Via Fulvia","unclassified","40.6305909,17.9249265","40.6348944,17.9330795",839.205,"2025-11-06 11:40:02.472895","day",1193,269,16
21,34063492,"Via Lucio Strabone","unclassified","40.6345818,17.9332197","40.6355268,17.9364311",293.39,"2025-11-06 11:40:02.472895","day",295,50,21
22,686325056,"Via Osanna","tertiary","40.6366326,17.9345676","40.6366139,17.9339618",51.319,"2025-11-06 11:40:02.472895","day",49,10,18
23,653815599,"Via Romolo","unclassified","40.6285049,17.9271399","40.6283248,17.9266665",44.768,"2025-11-06 11:40:02.472895","day",44,15,11
24,654298716,"Via Bezzecca","unclassified","40.6238624,17.9253274","40.6246742,17.9268147",156.509,"2025-11-06 11:40:02.472895","day",162,37,16
25,970987839,"Via Giuseppe Maria Galanti","unclassified","40.6246118,17.9291277","40.6241394,17.929566",64.265,"2025-11-06 11:40:02.472895","day",63,14,16
26,655695410,"Via Villafranca","unclassified","40.625425, 17.927101","40.6259262, 17.9281278",125.399,"2025-11-06 11:40:02.472895","day",103,37,10
27,34063497,"Via Osanna","unclassified","40.6368149,17.9339525","40.6373214,17.9314245",224.996,"2025-11-06 11:40:02.472895","day",224,54,15
28,34024918,"Via Tor Pisana","secondary","40.6357155,17.9367975","40.633235,17.938614",315.47,"2025-11-06 11:40:02.472895","day",315,47,24
29,34024888,"Via Grazia Balsamo","unclassified","40.631874,17.9237496","40.6295208,17.9257274",310.676,"2025-11-06 11:40:02.472895","day",316,69,16
30,34149862,"Via Verona","unclassified","40.6281291,17.9233088","40.6274241,17.9240946",102.709,"2025-11-06 11:40:02.472895","day",107,22,18
32,430287038,"Via Tor Pisana","unclassified","40.6323351,17.9392841","40.6312266,17.9404177",156.077,"2025-11-06 11:40:02.472895","day",157,27,21
33,34149856,"Viale Martiri delle Fosse Ardeatine","tertiary","40.6283516,17.9394671","40.6296195,17.938271",173.679,"2025-11-06 11:40:02.472895","day",174,59,11
34,314305921,"Via Tor Pisana","secondary","40.6328179,17.9390321","40.6330688,17.9387304",37.87,"2025-11-06 11:40:02.472895","day",39,6,23
35,271253576,"Via Dalmazia","unclassified","40.6284186,17.940473","40.6304466,17.9398572",244.526,"2025-11-06 11:40:02.472895","day",253,41,22
36,147950966,"Cavalcavia Alcide De Gasperi","tertiary","40.6326907,17.9417864","40.6305137,17.9397958",296.784,"2025-11-06 11:40:02.472895","day",296,48,22
37,34024914,"Cavalcavia Alcide De Gasperi","tertiary","40.6304466,17.9398572","40.6326582,17.9418449",299.775,"2025-11-06 11:40:02.472895","day",300,63,17
38,653812345,"Viale Aldo Moro","tertiary","40.6305137,17.9397958","40.6304416,17.939649",14.777,"2025-11-06 11:40:02.472895","day",12,1,43
39,267273116,"Via Osanna","unclassified","40.6373214,17.9314245","40.6376194,17.9309272",53.839,"2025-11-06 11:40:02.472895","day",54,29,7
40,34024915,"Viale Aldo Moro","tertiary","40.6263117,17.9317997","40.6295813,17.9381902",651.313,"2025-11-06 11:40:02.472895","day",651,219,11
42,34149859,"Via Tirolo","tertiary","40.6296195,17.938271","40.6303857,17.9376104",101.799,"2025-11-06 11:40:02.472895","day",99,28,13
43,271261225,"Via Tor Pisana","unclassified","40.6323351,17.9392841","40.6327002,17.9391076",43.241,"2025-11-06 11:40:02.472895","day",44,6,26
44,648875351,"Via Mogadiscio","unclassified","40.6353594,17.9329322","40.6348944,17.9330795",53.119,"2025-11-06 11:40:02.472895","day",51,14,13
46,371399354,"Via Tirolo","tertiary","40.6306281,17.9375524","40.631544,17.9367754",127.234,"2025-11-06 11:40:02.472895","day",130,25,19
47,321063028,"Via Cappuccini","tertiary","40.6318298,17.9235845","40.6309155,17.9215916",200.152,"2025-11-06 11:40:02.472895","day",199,26,28
48,34024921,"Via Tor Pisana","unclassified","40.6326242,17.9389513","40.6323351,17.9392841",42.703,"2025-11-06 11:40:02.472895","day",42,6,25
49,656352206,"Via Schiavone","unclassified","40.6334261,17.9327122","40.6325555,17.9324393",100.424,"2025-11-06 11:40:02.472895","day",102,24,15
50,34063494,"Via Osanna","unclassified","40.6366326,17.9345676","40.6368149,17.9339525",55.99,"2025-11-06 11:40:02.472895","day",53,9,21
51,34177700,"Via Sant'Angelo","tertiary","40.6232109,17.9314857","40.6204335,17.933536",356.715,"2025-11-06 11:40:02.472895","day",358,100,13
